Element Code	Element	Unit
645	Food supply quantity (kg/capita/yr)	kg
664	Food supply (kcal/capita/day)	kcal/capita/day
674	Protein supply quantity (g/capita/day)	g/capita/day
684	Fat supply quantity (g/capita/day)	g/capita/day
5072	Stock Variation	1000 tonnes
5123	Losses	1000 tonnes
5131	Processing	1000 tonnes
5142	Food	1000 tonnes
5154	Other uses (non-food)	1000 tonnes
5170	Residuals	1000 tonnes
5171	Tourist consumption	1000 tonnes
5301	Domestic supply quantity	1000 tonnes
5511	Production	1000 tonnes
5521	Feed	1000 tonnes
5527	Seed	1000 tonnes
5611	Import Quantity	1000 tonnes
5911	Export Quantity	1000 tonnes
