Area Code	Year Code	Years considered	Unit	Value
2	2014	"""2013,2014,2015"""	millions	8.8
2	2015	"""2014,2015,2016"""	millions	8.9
2	2016	"""2015,2016,2017"""	millions	9.7
2	2017	"""2016,2017,2018"""	millions	10.5
2	2018	"""2017,2018,2019"""	millions	11.1
3	2014	"""2013,2014,2015"""	millions	0.1
3	2015	"""2014,2015,2016"""	millions	0.1
3	2016	"""2015,2016,2017"""	millions	0.1
3	2017	"""2016,2017,2018"""	millions	0.1
3	2018	"""2017,2018,2019"""	millions	0.1
4	2014	"""2013,2014,2015"""	millions	1.3
4	2015	"""2014,2015,2016"""	millions	1.3
4	2016	"""2015,2016,2017"""	millions	1.3
4	2017	"""2016,2017,2018"""	millions	1.3
4	2018	"""2017,2018,2019"""	millions	1.2
7	2014	"""2013,2014,2015"""	millions	6.2
7	2015	"""2014,2015,2016"""	millions	5.3
7	2016	"""2015,2016,2017"""	millions	5.6
7	2017	"""2016,2017,2018"""	millions	5.8
7	2018	"""2017,2018,2019"""	millions	5.7
9	2015	"""2014,2015,2016"""	millions	1.1
9	2016	"""2015,2016,2017"""	millions	1.3
9	2017	"""2016,2017,2018"""	millions	1.5
9	2018	"""2017,2018,2019"""	millions	1.7
1	2014	"""2013,2014,2015"""	millions	0.1
1	2015	"""2014,2015,2016"""	millions	0.1
1	2016	"""2015,2016,2017"""	millions	0.1
1	2017	"""2016,2017,2018"""	millions	0.1
1	2018	"""2017,2018,2019"""	millions	0.1
16	2014	"""2013,2014,2015"""	millions	22.4
16	2015	"""2014,2015,2016"""	millions	23.3
16	2016	"""2015,2016,2017"""	millions	22.3
16	2017	"""2016,2017,2018"""	millions	21.5
16	2018	"""2017,2018,2019"""	millions	20.9
14	2014	"""2013,2014,2015"""	millions	0.1
14	2015	"""2014,2015,2016"""	millions	0.1
14	2016	"""2015,2016,2017"""	millions	0.1
14	2017	"""2016,2017,2018"""	millions	0.1
14	2018	"""2017,2018,2019"""	millions	0.1
23	2014	"""2013,2014,2015"""	millions	0.1
23	2015	"""2014,2015,2016"""	millions	0.1
23	2016	"""2015,2016,2017"""	millions	0.1
23	2017	"""2016,2017,2018"""	millions	0.1
23	2018	"""2017,2018,2019"""	millions	0.1
53	2014	"""2013,2014,2015"""	millions	0.8
53	2015	"""2014,2015,2016"""	millions	0.8
53	2016	"""2015,2016,2017"""	millions	0.8
53	2017	"""2016,2017,2018"""	millions	0.8
53	2018	"""2017,2018,2019"""	millions	0.8
19	2014	"""2013,2014,2015"""	millions	1.9
19	2015	"""2014,2015,2016"""	millions	1.8
19	2016	"""2015,2016,2017"""	millions	1.7
19	2017	"""2016,2017,2018"""	millions	1.7
19	2018	"""2017,2018,2019"""	millions	1.8
20	2014	"""2013,2014,2015"""	millions	0.4
20	2015	"""2014,2015,2016"""	millions	0.4
20	2016	"""2015,2016,2017"""	millions	0.4
20	2017	"""2016,2017,2018"""	millions	0.5
20	2018	"""2017,2018,2019"""	millions	0.5
27	2014	"""2013,2014,2015"""	millions	0.3
27	2015	"""2014,2015,2016"""	millions	0.2
27	2016	"""2015,2016,2017"""	millions	0.2
27	2017	"""2016,2017,2018"""	millions	0.2
27	2018	"""2017,2018,2019"""	millions	0.2
233	2014	"""2013,2014,2015"""	millions	3.1
233	2015	"""2014,2015,2016"""	millions	3.2
233	2016	"""2015,2016,2017"""	millions	3.4
233	2017	"""2016,2017,2018"""	millions	3.6
233	2018	"""2017,2018,2019"""	millions	3.8
35	2014	"""2013,2014,2015"""	millions	0.1
35	2015	"""2014,2015,2016"""	millions	0.1
35	2016	"""2015,2016,2017"""	millions	0.1
35	2017	"""2016,2017,2018"""	millions	0.1
35	2018	"""2017,2018,2019"""	millions	0.1
115	2014	"""2013,2014,2015"""	millions	2.3
115	2015	"""2014,2015,2016"""	millions	2.4
115	2016	"""2015,2016,2017"""	millions	2.4
115	2017	"""2016,2017,2018"""	millions	2.4
115	2018	"""2017,2018,2019"""	millions	2.4
32	2014	"""2013,2014,2015"""	millions	1.5
32	2015	"""2014,2015,2016"""	millions	1.6
32	2016	"""2015,2016,2017"""	millions	1.6
32	2017	"""2016,2017,2018"""	millions	1.6
32	2018	"""2017,2018,2019"""	millions	1.6
39	2014	"""2013,2014,2015"""	millions	5.0
39	2015	"""2014,2015,2016"""	millions	5.0
39	2016	"""2015,2016,2017"""	millions	5.3
39	2017	"""2016,2017,2018"""	millions	5.7
39	2018	"""2017,2018,2019"""	millions	6.1
40	2014	"""2013,2014,2015"""	millions	0.6
40	2015	"""2014,2015,2016"""	millions	0.6
40	2016	"""2015,2016,2017"""	millions	0.6
40	2017	"""2016,2017,2018"""	millions	0.6
40	2018	"""2017,2018,2019"""	millions	0.7
128	2014	"""2013,2014,2015"""	millions	0.1
128	2015	"""2014,2015,2016"""	millions	0.1
128	2016	"""2015,2016,2017"""	millions	0.1
128	2017	"""2016,2017,2018"""	millions	0.1
128	2018	"""2017,2018,2019"""	millions	0.1
214	2014	"""2013,2014,2015"""	millions	0.9
214	2015	"""2014,2015,2016"""	millions	0.9
214	2016	"""2015,2016,2017"""	millions	0.9
214	2017	"""2016,2017,2018"""	millions	0.9
214	2018	"""2017,2018,2019"""	millions	0.8
44	2014	"""2013,2014,2015"""	millions	3.4
44	2015	"""2014,2015,2016"""	millions	3.1
44	2016	"""2015,2016,2017"""	millions	2.8
44	2017	"""2016,2017,2018"""	millions	2.7
44	2018	"""2017,2018,2019"""	millions	2.7
46	2014	"""2013,2014,2015"""	millions	1.2
46	2015	"""2014,2015,2016"""	millions	1.2
46	2016	"""2015,2016,2017"""	millions	1.3
46	2017	"""2016,2017,2018"""	millions	1.4
46	2018	"""2017,2018,2019"""	millions	1.5
48	2014	"""2013,2014,2015"""	millions	0.2
48	2015	"""2014,2015,2016"""	millions	0.2
48	2016	"""2015,2016,2017"""	millions	0.2
48	2017	"""2016,2017,2018"""	millions	0.2
48	2018	"""2017,2018,2019"""	millions	0.2
107	2014	"""2013,2014,2015"""	millions	4.6
107	2015	"""2014,2015,2016"""	millions	4.6
107	2016	"""2015,2016,2017"""	millions	4.6
107	2017	"""2016,2017,2018"""	millions	4.9
107	2018	"""2017,2018,2019"""	millions	5.0
50	2014	"""2013,2014,2015"""	millions	0.1
50	2015	"""2014,2015,2016"""	millions	0.1
50	2016	"""2015,2016,2017"""	millions	0.1
50	2017	"""2016,2017,2018"""	millions	0.1
50	2018	"""2017,2018,2019"""	millions	0.1
116	2014	"""2013,2014,2015"""	millions	10.8
116	2015	"""2014,2015,2016"""	millions	11.2
116	2016	"""2015,2016,2017"""	millions	11.6
116	2017	"""2016,2017,2018"""	millions	12.0
116	2018	"""2017,2018,2019"""	millions	12.2
55	2014	"""2013,2014,2015"""	millions	0.1
55	2015	"""2014,2015,2016"""	millions	0.1
55	2016	"""2015,2016,2017"""	millions	0.1
55	2017	"""2016,2017,2018"""	millions	0.1
55	2018	"""2017,2018,2019"""	millions	0.1
56	2014	"""2013,2014,2015"""	millions	0.9
56	2015	"""2014,2015,2016"""	millions	0.8
56	2016	"""2015,2016,2017"""	millions	0.7
56	2017	"""2016,2017,2018"""	millions	0.6
56	2018	"""2017,2018,2019"""	millions	0.6
58	2014	"""2013,2014,2015"""	millions	1.9
58	2015	"""2014,2015,2016"""	millions	1.4
58	2016	"""2015,2016,2017"""	millions	1.5
58	2017	"""2016,2017,2018"""	millions	1.5
58	2018	"""2017,2018,2019"""	millions	1.5
59	2014	"""2013,2014,2015"""	millions	4.3
59	2015	"""2014,2015,2016"""	millions	4.2
59	2016	"""2015,2016,2017"""	millions	4.5
59	2017	"""2016,2017,2018"""	millions	4.6
59	2018	"""2017,2018,2019"""	millions	4.6
60	2014	"""2013,2014,2015"""	millions	0.7
